id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,_Entire home/apt,_Hotel room,_Private room,_Shared room
143821,marvelous LOFT in SIHLCITY ZÃ¼rich,697307,Erhan,Kreis 3,Alt-Wiedikon,47.35724,8.52304,200,3,0,,,1,145,0,1,0,0,0
178448,"a lovely place, top location",854016,Delphine,Kreis 2,Enge,47.36565,8.52753,60,5,9,10/05/2016,0.07,1,221,0,0,0,1,0
204586,very nice luxury city apartment,1004816,Aicha,Kreis 10,HÃ¶ngg,47.40656,8.48465,200,3,0,,,1,364,0,0,0,1,0
222565,Bedroom overlooking the lake near,1155866,Ysabel,Kreis 2,Wollishofen,47.33463,8.54117,69,2,227,19/08/2022,1.71,1,208,5,0,0,1,0
227039,*Luxury Penthouse in the heart of trendy Zurich*,1184427,Lucas,Kreis 5,Escher Wyss,47.38942,8.51881,650,4,30,30/07/2022,0.23,1,177,2,1,0,0,0
251204,Lovely apartment in the middle of trendy Wipkingen,1224284,Urban,Kreis 10,Wipkingen,47.39282,8.52685,156,5,0,,,1,6,0,1,0,0,0
272841,"room with balcony, city centre",1427927,Anja,Kreis 5,Gewerbeschule,47.38326,8.52718,72,1,334,03/09/2022,2.53,1,310,39,0,0,1,0
283737,Best Location in Zurich Oldtown,1477771,Nuria,Kreis 1,Rathaus,47.37284,8.54324,159,4,293,04/09/2022,2.26,2,195,33,1,0,0,0
292351,120 sqM - 3 bedrooms + lounge in central Zurich,1513739,Anil,Kreis 3,Sihlfeld,47.37896,8.50787,210,5,10,10/10/2021,0.17,1,20,1,1,0,0,0
310964,Large Apartment - Center of Zurich,1266114,Kim,Kreis 1,Hochschulen,47.36802,8.54813,360,7,13,06/01/2019,0.11,1,176,0,1,0,0,0
551321,ZÃ¼rich Charming Business/Holiday,2709967,Stephanie,Kreis 3,Alt-Wiedikon,47.37008,8.51368,115,2,22,08/02/2018,0.18,1,43,0,1,0,0,0
577683,Modern & Spacious Garden-Suite in Zurich,1240329,Claudio,Kreis 10,HÃ¶ngg,47.40419,8.49593,210,5,7,03/07/2021,0.06,1,285,0,1,0,0,0
610348,"Duplex  Flat, 120 m2 7-8  persons",3026473,Leandra,Kreis 11,Oerlikon,47.40703,8.55232,220,4,108,11/09/2022,0.89,2,303,14,1,0,0,0
620130,NB1: Charming 2-room apartment,3072679,Andrea,Kreis 10,Wipkingen,47.39232,8.52876,185,3,25,08/02/2020,0.32,5,175,0,1,0,0,0
644888,Big and bright duplex in the heart of Zurich,3228273,Violetta,Kreis 4,Hard,47.38003,8.50829,65,180,16,08/08/2021,0.13,1,269,0,0,0,1,0
700637,Room Central Zurich-Perfect View!!,3594263,Sacha,Kreis 4,Langstrasse,47.3748,8.52668,120,10,27,26/04/2015,0.24,1,365,0,0,0,1,0
706972,NB2: good value 1-room apartment,3072679,Andrea,Kreis 10,Wipkingen,47.39354,8.53019,134,3,8,17/03/2020,0.09,5,175,0,1,0,0,0
706997,NB3: Beautiful 2-bedroom apartment,3072679,Andrea,Kreis 10,Wipkingen,47.3937,8.52998,165,3,12,31/05/2019,0.1,5,175,0,1,0,0,0
743035,Guesthouse Im Sonnenbuehl/Uetliberg,3891818,Jacqueline,Kreis 3,Friesenberg,47.35468,8.48535,250,2,88,31/12/2021,0.78,2,363,2,1,0,0,0
1028631,Architect's loft seen in magazines centre Zurich,1145413,Jurgita,Kreis 4,Langstrasse,47.37449,8.52116,490,4,84,01/09/2022,0.73,1,87,9,1,0,0,0
1137339,"Zurich - easy, central, convenient",6238643,Bernadette,Kreis 10,HÃ¶ngg,47.40239,8.49519,54,5,32,15/07/2022,0.31,2,176,3,0,0,1,0
1173334,Luxury Loft/Penthouse in ZÃ¼rich,1938261,Andreas,Kreis 3,Alt-Wiedikon,47.36202,8.52058,219,5,18,28/01/2019,0.17,1,359,0,1,0,0,0
1179802,"Zurich-heart of the city, 2,5 rooms",3072454,Christine,Kreis 4,Langstrasse,47.37929,8.5352,106,3,212,29/07/2022,1.88,1,53,5,1,0,0,0
1283510,Sonnige zweigeschossige Wohnung in ZÃ¼rich-West,6165726,Beat,Kreis 5,Escher Wyss,47.39396,8.50829,123,7,2,08/08/2017,0.03,1,234,0,1,0,0,0
1296814,Lovely Zurich Flat near the lake!,5777725,Carla,Kreis 8,MÃ¼hlebach,47.35725,8.55699,153,3,6,05/07/2019,0.05,1,287,0,1,0,0,0
